City ID,City,Country,Lat,Lng,Temp,Humidity,Clouds,Wind Speed
2269594,Cascais,PT,38.7,-9.42,68.31,29,82,1.99
1214026,Sabang,ID,5.89,95.32,82.38,75,98,12.95
3421765,Nanortalik,GL,60.14,-45.24,45.7,89,100,20.65
1268814,Joshīmath,IN,30.57,79.57,61.72,52,10,2.73
57000,Hobyo,SO,5.35,48.53,75.85,81,60,23.51
3461370,Imbituba,BR,-28.24,-48.67,66.2,100,75,6.93
5866063,Kenai,US,60.55,-151.26,56.46,76,1,14.99
5384339,Port Hueneme,US,34.15,-119.2,75.2,73,75,8.05
2137773,Vao,NC,-22.67,167.48,67.69,80,20,19.95
2449893,Tessalit,ML,20.2,1.01,89.46,29,43,12.88
5261790,Marathon,US,44.9,-89.77,49.06,71,90,5.82
3393692,Itarema,BR,-2.92,-39.92,77.77,80,0,14.38
1501000,Kyshtovka,RU,56.55,76.63,41.4,96,96,7.05
135423,Shahrud,IR,36.42,54.98,62.78,65,27,6.64
542374,Krasnogorsk,RU,55.82,37.32,50.0,87,40,11.18
935215,Saint-Philippe,RE,-21.36,55.77,64.6,88,40,6.93
2013727,Vanavara,RU,60.34,102.28,46.98,91,100,5.41
1791673,Weihai,CN,37.5,122.11,72.7,74,1,8.19
1628884,Sampit,ID,-2.53,112.95,77.99,88,79,1.79
3141332,Røros,NO,62.57,11.38,37.4,100,82,1.12
2028028,Aksha,RU,50.28,113.29,58.37,71,0,1.34
2512340,Pozoblanco,ES,38.38,-4.85,73.4,56,5,5.82
933077,Shakawe,BW,-18.37,21.85,59.38,30,0,7.02
1692781,President Roxas,PH,7.15,125.06,80.6,83,75,1.12
3353383,Rundu,NA,-17.93,19.77,59.2,32,0,6.87
3617723,Obregon,NI,11.96,-85.96,82.4,78,40,6.93
3860443,Comodoro Rivadavia,AR,-45.87,-67.5,55.4,24,47,19.46
538685,Kurmanayevka,RU,52.51,52.07,59.79,34,90,10.16
5231851,Sioux Falls,US,43.55,-96.7,45.7,65,90,9.17
1855342,Nishihara,JP,26.18,127.76,78.69,100,90,6.67
2033196,Zhangjiakou,CN,40.81,114.88,61.93,57,0,5.57
2236967,Soyo,AO,-6.13,12.37,72.88,88,86,6.51
1850523,Tateyama,JP,34.98,139.87,84.07,83,20,12.75
5903851,Blind River,CA,46.18,-82.96,52.97,62,90,6.93
3441665,Minas,UY,-34.38,-55.24,57.09,76,48,13.87
2123100,Myaundzha,RU,63.05,147.19,41.9,64,9,3.13
515879,Oktyabr'skiy,RU,54.48,53.47,56.75,61,73,6.38
2013442,Vershino-Darasunskiy,RU,52.35,115.52,58.71,68,0,1.3
3848950,La Rioja,AR,-29.41,-66.85,63.93,45,0,2.33
1235846,Matara,LK,5.95,80.54,78.91,87,100,10.47
3356213,Khorixas,NA,-20.37,14.97,62.11,30,0,2.77
4004293,Ixtapa,MX,20.7,-105.2,84.09,74,75,8.05
5924351,Clyde River,CA,70.47,-68.59,33.8,100,90,4.7
2079582,Alyangula,AU,-13.85,136.42,80.6,69,40,8.05
244878,Biltine,TD,14.53,20.92,82.27,64,3,3.31
2030065,Mandalgovi,MN,45.76,106.27,60.53,49,90,8.43
6078112,Moose Jaw,CA,50.4,-105.53,54.77,24,75,9.17
2396518,Port-Gentil,GA,-0.72,8.78,77.0,83,40,16.37
3924610,Achacachi,BO,-16.05,-68.68,45.66,72,51,1.81
3395458,Maragogi,BR,-9.01,-35.22,73.33,86,74,5.91
1489656,Teya,RU,60.38,92.63,39.94,90,24,1.3
4470244,Havelock,US,34.88,-76.9,75.0,96,100,8.46
5557293,Sitka,US,57.05,-135.33,60.8,82,90,1.77
2012593,Zeya,RU,53.75,127.27,60.15,64,71,5.7
287286,Ruwi,OM,23.6,58.55,84.2,54,0,3.36
4004616,Huejuquilla el Alto,MX,22.6,-103.87,72.9,67,81,6.96
1788852,Xining,CN,36.62,101.77,56.41,78,97,1.16
1657818,Champasak,LA,14.75,106.0,75.67,96,100,1.59
1489822,Tegul'det,RU,57.31,88.17,39.49,97,62,3.02
3448903,São João da Barra,BR,-21.64,-41.05,72.86,86,40,13.35
2177091,Ballarat,AU,-37.57,143.85,50.32,69,23,1.01
3984571,Santa Catarina de Tepehuanes,MX,25.35,-105.73,71.31,64,60,5.23
1503061,Kochki,RU,54.34,80.48,39.81,96,16,6.49
1337619,Ugoofaaru,MV,5.67,73.0,82.2,79,96,17.87
1258201,Repalle,IN,16.02,80.85,79.29,89,18,2.68
5731070,Hermiston,US,45.84,-119.29,76.37,12,1,10.29
2524379,Lipari,IT,38.47,14.95,76.33,72,14,1.99
3347719,Luena,AO,-11.78,19.92,58.1,34,0,4.43
332746,Korem,ET,12.51,39.52,56.79,74,22,2.57
6455340,Saint-Cloud,FR,48.85,2.22,64.26,88,75,0.94
3357114,Grootfontein,NA,-19.57,18.12,57.13,32,0,8.9
1488903,Turukhansk,RU,65.82,87.98,47.28,79,100,5.59
5850554,Makakilo City,US,21.35,-158.09,86.34,55,90,5.82
1502066,Krasnoshchekovo,RU,51.67,82.73,42.22,86,73,6.02
4845585,Westport,US,41.14,-73.36,72.21,83,0,6.69
3421193,Paamiut,GL,61.99,-49.67,45.45,78,100,22.84
2077895,Alice Springs,AU,-23.7,133.88,77.49,22,0,11.41
3877918,Ovalle,CL,-30.6,-71.2,55.92,62,78,2.42
933995,Souillac,MU,-20.52,57.52,71.6,83,75,18.34
3421719,Narsaq,GL,60.92,-46.05,40.05,87,100,18.7
5856516,‘Āhuimanu,US,21.44,-157.84,84.09,65,75,12.75
2400547,Gamba,GA,-2.65,10.0,74.7,86,70,8.93
2122389,Ossora,RU,59.24,163.07,50.22,90,100,31.43
6167817,Torbay,CA,47.67,-52.73,61.38,93,75,11.41
1504382,Kargasok,RU,59.06,80.86,40.37,98,74,6.04
2246451,Saint-Louis,SN,16.33,-15.0,86.0,74,75,4.7
2303611,Esim,GH,4.87,-2.24,76.12,89,86,9.42
3453014,Porangatu,BR,-13.44,-49.15,78.98,30,3,2.04
1510689,Baykit,RU,61.67,96.37,45.09,87,98,4.09
1259385,Port Blair,IN,11.67,92.75,81.91,79,97,3.67
3899695,Ancud,CL,-41.87,-73.82,45.0,91,41,9.17
2189343,Kaeo,NZ,-35.1,173.78,60.01,31,11,4.38
3451138,Rio Grande,BR,-32.03,-52.1,60.01,94,100,5.01
5118693,Glens Falls,US,43.31,-73.64,72.19,78,1,2.33
1799462,Shaoyang,CN,27.23,111.45,76.71,86,41,1.25
3870243,Taltal,CL,-25.4,-70.48,56.98,73,11,3.58
3468436,Cachoeira do Sul,BR,-30.04,-52.89,61.9,93,96,5.7
4513583,Hamilton,US,39.18,-84.53,80.49,58,1,4.7
3380290,Sinnamary,GF,5.38,-52.95,79.65,86,57,8.59
2012956,Yerbogachën,RU,61.28,108.01,47.01,88,75,8.3
3576994,Cockburn Town,TC,21.46,-71.14,83.1,80,57,14.41
1181611,Chaman,PK,30.92,66.45,63.16,26,0,2.73
535839,Leshukonskoye,RU,64.9,45.76,56.37,93,100,9.98
1529484,Kumul,CN,42.8,93.45,68.52,35,0,2.24
10722858,Forsytheganj,BY,52.63,29.73,57.88,70,95,14.74
5563839,Fortuna,US,40.6,-124.16,68.0,68,20,9.17
2212775,Sabha,LY,27.04,14.43,84.43,21,0,11.9
2174444,Bowen,AU,-20.02,148.23,71.6,78,40,21.92
2417831,Mamou,GN,10.5,-12.0,69.49,96,85,1.36
8010683,Porto Santo,PT,33.07,-16.34,71.6,83,20,11.41
2641519,Newtownards,GB,54.59,-5.69,60.89,88,93,11.41
2447513,Arlit,NE,18.74,7.39,95.58,16,13,8.41
701802,Markova,UA,48.68,24.41,51.69,79,57,4.29
3902377,La Santisima Trinidad,BO,-14.83,-64.9,82.76,34,94,3.09
4231997,Avera,US,33.19,-82.53,78.78,54,1,4.7
6166142,Thunder Bay,CA,48.4,-89.32,52.36,71,90,3.36
5955902,Fort Nelson,CA,58.81,-122.7,77.0,33,75,9.17
3466696,Catalão,BR,-18.17,-47.95,73.9,33,13,9.44
3427761,Tigre,AR,-34.43,-58.58,62.82,77,88,5.82
5354943,Half Moon Bay,US,37.46,-122.43,73.65,93,90,12.75
5972291,Havre-St-Pierre,CA,50.23,-63.6,51.8,76,1,18.34
2520645,Cabra,ES,37.47,-4.44,71.04,56,0,5.82
2126785,Belaya Gora,RU,68.53,146.42,49.75,66,99,8.16
1215502,Banda Aceh,ID,5.56,95.32,79.63,76,97,7.96
2065594,Mount Isa,AU,-20.73,139.5,78.8,39,0,17.22
5882953,Aklavik,CA,68.22,-135.01,42.8,93,90,4.7
6180550,Whitehorse,CA,60.72,-135.05,55.87,76,90,13.87
72181,Marzuq,YE,14.4,46.47,79.34,57,60,4.9
2185763,Okato,NZ,-39.2,173.88,52.43,77,100,10.0
1282898,Pokhara,NP,28.23,83.98,69.73,76,91,2.89
2450173,Taoudenni,ML,22.68,-3.98,97.07,20,0,9.69
2082539,Merauke,ID,-8.47,140.33,81.41,70,75,15.14
1314759,Lashio,MM,22.93,97.75,68.25,100,56,0.58
3406318,Barra do Corda,BR,-5.5,-45.25,80.22,42,39,2.8
2055868,Yantal',RU,56.85,105.25,49.21,82,100,1.05
1862505,Hirara,JP,24.8,125.28,82.08,94,75,3.36
2412408,Nioro,GM,13.35,-15.75,75.18,94,31,4.14
6125653,Roberval,CA,48.52,-72.23,53.6,76,90,5.82
2025256,Chumikan,RU,54.72,135.31,55.53,65,1,2.93
2138555,Poum,NC,-20.23,164.02,70.41,76,15,21.07
1635283,Metro,ID,-5.11,105.31,77.65,84,98,3.13
1267390,Kavaratti,IN,10.57,72.64,81.18,84,73,14.52
1804874,Kaihua,CN,23.37,104.28,65.95,91,97,2.35
